Sl.no,Disticts,Not Availabale,Yes,No
1,Anugul,,,1
2,Balangir,1,,
3,Balasore,,1,
4,Bargarh,1,,
5,Bhadrak,1,,
6,Boudh,1,,
7,Cuttack,,1,
8,Deogarh,1,,1
9,Dhenkanal,,,
10,Gajapati,1,,
11,Ganjam,1,,
12,Jagatsinghapur,1,,
13,Jajpur,,,1
14,Jharsuguda,1,,
15,Kalahandi,,,1
16,Kandhamal,,1,
17,Kendrapada,1,,
18,Keonjhar,,1,
19,Khordha,1,,
20,Koraput,1,,
21,Malkangiri,,,1
22,Mayurbhanj,,1,
23,Nabarangpur,1,,
24,Nayagarh,,1,
25,Nuapada,,1,
26,Puri,,,1
27,Rayagada,,,1
28,Sambalpur,1,,
29,Fulbani,,1,
30,sonpur,,,1
,Total,14,8,8
